users_id,tracks_id,interaction_count,total_playcount,track_name,artist_name,artist_genre,artist_birth_date,artist_birth_place,source
3507776,9524,21,21,Full On Fluoro 024,Paul Oakenfold,Male,1963-08-30T00:00:00Z,London,file1
31435741,182,45,45,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,,,,file1
31435741,1411,37,37,Good Good Night,Roscoe Dash,Male,1990-04-02T00:00:00Z,Atlanta,file1
31435741,1858,22,22,Down By the River,Bliss n Eso,,,,file1
32226961,2633,36,36,Shadowplay,Joy Division,,,,file1
21072247,800,28,28,Sword Chant,Ensiferum,,,,file1
21072247,114,29,29,Time,Wintersun,,,,file1
31435741,2525,51,51,Super Psycho Love,Simon Curtis,Male,1960-03-11T00:00:00Z,London,file1
21072247,1371,31,31,This Is the End,Machine Head,,,,file1
3507776,8187,27,27,Gave Me,Giuseppe Ottaviani,Male,1978-11-12T00:00:00Z,Viterbo,file1
21072247,2379,27,40,Holy Wars...The Punishment Due,Megadeth,,,,file1
31435741,19,22,22,Fire It Up!,Limp Bizkit,,,,file1
32226961,3789,25,25,Precious,Depeche Mode,,,,file1
31435741,1989,27,27,I Came 2 Party,Cinema Bizarre,,,,file1
32226961,3594,21,21,Twilight,Lake of Tears,,,,file1
3507776,8871,22,22,Back For More,Jon O'bir,,,,file1
31435741,1904,31,31,Выбирать чудо,Нюша,,,,file1
31435741,895,21,21,Y'all Don't Really Know (zaycev.net),DMX,Male,1970-12-18T00:00:00Z,Mount Vernon,file1
21072247,1752,42,44,Crazy Train,Ozzy Osbourne,Male,1948-12-03T00:00:00Z,Marston Green,file1
31435741,1859,22,22,Addicted (zaycev.net),Bliss n Eso,,,,file1
31435741,2314,44,44,Stripped,Depeche Mode,,,,file1
21072247,799,20,20,Tale of Revenge,Ensiferum,,,,file1
31435741,2396,57,57,The Lost (We Are),Prototype,,,,file1
21072247,119,27,27,Sons of Winter and Stars,Wintersun,,,,file1
21072247,1232,22,22,"Red Light In My Eyes, Pt. 2",Children of Bodom,,,,file1
32226961,3755,20,20,Iron Lion Zion,Bob Marley,Male,1945-02-06T00:00:00Z,Nine Mile,file1
31435741,1545,52,52,Wicked Games,The Weeknd,Male,1990-02-16T00:00:00Z,Toronto,file1
21072247,101,25,28,Mr. Crowley,Ozzy Osbourne,Male,1948-12-03T00:00:00Z,Marston Green,file1
31435741,932,42,42,Bitch Came Back,Theory of a Deadman,,,,file1
31435741,1850,23,23,On A Bender,Bliss n Eso,,,,file1
32226961,3383,33,33,The Passenger,Iggy Pop,Male,1947-04-21T00:00:00Z,Muskegon,file1
32226961,3111,32,32,Where Silent Gods Stand Guard,Amon Amarth,,,,file1
21072247,118,21,21,Land of Snow and Sorrow,Wintersun,,,,file1
31435741,2477,43,43,What I Get,Allele,,,,file1
31435741,1295,132,132,Freeek!,George Michael,Male,1963-06-25T00:00:00Z,East Finchley,file1
31435741,1764,32,32,Your Body (zaycev.net),Christina Aguilera,Female,1980-12-18T00:00:00Z,Staten Island,file1
12142866,3551,42,42,The Wishing Well (ii) So By Sowest,Pendragon,,,,file1
32226961,3797,26,26,Just Can't Get Enough,Depeche Mode,,,,file1
31435741,1889,22,22,Nowhere But Up,Bliss n Eso,,,,file1
3507776,7036,20,20,Empty Promises (Original Mix),Reverse,,,,file1
3507776,6907,20,20,Amsterdam,Imagine Dragons,,,,file1
31435741,1294,131,131,Too Funky,George Michael,Male,1963-06-25T00:00:00Z,East Finchley,file1
31435741,2311,41,43,Policy of Truth,Depeche Mode,,,,file1
31435741,1710,29,29,Baker Street (Vocal Edit),Michael Mind,,,,file1
31435741,1090,52,52,Rat Race,Billy Idol,Male,1955-11-30T00:00:00Z,Stanmore,file1
2798275,5605,23,23,戯園,"Kagrra,",,,,file1
32226961,3790,21,21,Never Let Me Down Again,Depeche Mode,,,,file1
31435741,1373,68,68,Cyanide Sweet Tooth Suicide (zaycev.net),Shinedown,,,,file1
31435741,2098,54,54,Get Up (Dirty),50 Cent,Male,1975-07-06T00:00:00Z,South Jamaica,file1
31435741,757,29,29,Affair,Hurts,,,,file1
32226961,3087,53,53,Transmission,Joy Division,,,,file1
32226961,2653,39,39,Disorder,Joy Division,,,,file1
12142866,1344,23,23,Second Life Syndrome,Riverside,,,,file1
31435741,850,29,29,Doin Me,Kid Ink,Male,1986-04-01T00:00:00Z,Los Angeles,file1
31435741,1191,169,169,Mala Mala (She So Bad),Lil Eddie,,,,file1
2798275,6141,22,22,negai ga kanau youni,Drug Store Cowboy,,,,file1
31435741,2040,22,22,"Ghetto Soldier - Ky-mani Marley featuring Louie Rankin, Main",Ky-Mani Marley,,,,file1
31435741,781,26,26,Unspoken,Hurts,,,,file1
