users_id,tracks_id,interaction_count,total_playcount,track_name,artist_name
2798275,5415,22,22,夢のような日々,Kra
2798275,5522,28,28,Clown's Crown,Kra
2798275,5591,20,20,泡沫の花びら,Kra
2798275,5592,22,22,水風船,Kra
2798275,5595,21,21,月下美人,Kra
2798275,5605,23,23,戯園,"Kagrra,"
2798275,5772,25,25,常夜の君,Kra
2798275,5783,20,20,artman,Kra
2798275,5930,34,34,マスカレード,Kra
2798275,6141,22,22,negai ga kanau youni,Drug Store Cowboy
3507776,6823,21,21,We Are Tonight (Original Mix),Christian Burns & Paul Van Dyk
3507776,6849,40,40,"Live @ WE ARE ONE Festival (Citadel Spandau, Berlin) - 07.06.2013",Paul van Dyk
3507776,6907,20,20,Amsterdam,Imagine Dragons
3507776,6909,26,26,Many Ways (Will Atkinson Midnight Remix),Ferry Corsten feat. Jenny Wahlstrom
3507776,6984,21,21,Heal This Empty Heart,Giuseppe Ottaviani featuring Alana Aldea
3507776,7036,20,20,Empty Promises (Original Mix),Reverse
3507776,7153,30,30,Glühwürmchen (Original Mix),Kyau vs. Albert
3507776,7157,32,32,Everywhere  (Extended Mix),Paul Van Dyk feat. Fieldwork
3507776,7267,23,23,Waiting For The Night (Beat Service Remix),Armin Van Buuren feat. Fiora
3507776,7316,26,26,Black Hole (Original Mix),Craig Connelly & Christina Novelli
3507776,7443,20,20,Sun In Your Eyes (Mark Sherry's 'Argentinian Sun' Unofficial Remix),Above & Beyond
3507776,7679,24,24,Sugar (Original mix),Store N Forward
3507776,7844,29,29,Fall With Me (Original Mix),Ben Gold feat. The Glass Child
3507776,7883,22,22,End Of Summer (Original Mix),Activa
3507776,7888,20,20,Everywhere I Go (Indecent Noise's Godskitche Rework),The Space Brothers
3507776,7918,26,26,The Evil ID (Original Mix),Max Graham
3507776,7949,27,27,The One (Original Mix),Simon Patterson feat. Lucy Pullin
3507776,7980,22,22,Tyrant (Angry Acid Mix),Angry man
3507776,8041,43,43,Lost For Words (Club Mix),Giuseppe Ottaviani
3507776,8109,21,21,Spellbound (Original Mix),Darren Porter
3507776,8183,33,33,The Stockholm Syndrome (CLMD Extended Version),CLMD vs Kish feat. Froder
3507776,8187,27,27,Gave Me,Giuseppe Ottaviani
3507776,8871,22,22,Back For More,Jon O'bir
3507776,8874,20,20,Where Are You Now,Jon O'Bir feat. Solar Movement
3507776,8877,22,22,Our Way Home,Lange
3507776,8915,48,48,Our Brief Time In The Sun (Original Mix),Lange
3507776,8963,20,20,Mescaline (Future Disciple Remix),Angry man
3507776,8965,27,27,We Own The Night (Club Mix),"Stoneface & Terminal, Kyau & Albert"
